,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8468834688346883,0.8875338753387534,0.8073394495412844,0.8348623853211009
1,1,0.7429990966576332,0.7845528455284553,0.7706422018348624,0.7981651376146789
2,2,0.8785004516711834,0.8988256549232159,0.8348623853211009,0.8256880733944953
3,3,0.8292682926829269,0.8256549232158987,0.7614678899082569,0.7798165137614679
4,4,0.8211382113821137,0.9245709123757904,0.7614678899082569,0.8532110091743119
5,5,0.8663053297199639,0.8762420957542909,0.8073394495412844,0.8348623853211009
6,6,0.8563685636856367,0.8279132791327912,0.7889908256880733,0.7981651376146789
7,7,0.8952122854561878,0.9173441734417345,0.8440366972477065,0.8440366972477065
8,8,0.8197831978319783,0.8857271906052394,0.7889908256880733,0.7981651376146789
9,9,0.7953929539295392,0.8396567299006322,0.7889908256880733,0.8165137614678899
