,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.802909697908731,0.8074196138888116,0.6223404255319149,0.5842696629213483
1,1,0.8897819024274005,0.8633559288630156,0.6833333333333333,0.7175141242937852
2,2,0.8206854356958414,0.8133682741927033,0.6344086021505376,0.6174863387978142
3,3,0.8428893774424872,0.8373919208536624,0.6741573033707865,0.6559139784946236
4,4,0.8232230431663963,0.8141241377153641,0.6420454545454546,0.6420454545454546
5,5,0.8100490846388292,0.8239202779645162,0.601063829787234,0.6502732240437159
6,6,0.8400618005171885,0.8189303745529096,0.6631016042780749,0.6193181818181819
7,7,0.8175328338074372,0.8153386279929439,0.6363636363636364,0.6457142857142857
8,8,0.8281321486995408,0.8067368858662634,0.6236559139784946,0.6306818181818181
9,9,0.8465020864708941,0.8500614638902303,0.6994535519125683,0.6589595375722543
