,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9343681917211328,0.8886165577342049,0.901840490797546,0.8773006134969326
1,1,0.9520697167755992,0.9455337690631809,0.8957055214723927,0.8957055214723927
2,2,0.787037037037037,0.8758169934640523,0.7730061349693251,0.8773006134969326
3,3,0.9594226579520697,0.977124183006536,0.9079754601226994,0.9325153374233128
4,4,0.9223856209150325,0.9425381263616558,0.9141104294478528,0.8773006134969326
5,5,0.8167211328976035,0.9400871459694988,0.8957055214723927,0.8895705521472392
6,6,0.9095860566448801,0.9332788671023965,0.8650306748466258,0.8895705521472392
7,7,0.9245642701525054,0.928649237472767,0.8957055214723927,0.9141104294478528
8,8,0.934640522875817,0.8605664488017429,0.8711656441717791,0.8650306748466258
9,9,0.8681917211328976,0.951797385620915,0.8957055214723927,0.9263803680981595
