,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9242919389978212,0.9193899782135077,0.8711656441717791,0.8957055214723927
1,1,0.8425925925925926,0.8907952069716775,0.852760736196319,0.8895705521472392
2,2,0.8518518518518519,0.8850762527233115,0.834355828220859,0.8588957055214724
3,3,0.94880174291939,0.9300108932461874,0.9079754601226994,0.8957055214723927
4,4,0.8831699346405228,0.8518518518518519,0.8588957055214724,0.8650306748466258
5,5,0.8316993464052288,0.9409041394335512,0.8834355828220859,0.8895705521472392
6,6,0.8316993464052288,0.8916122004357299,0.852760736196319,0.852760736196319
7,7,0.8965141612200436,0.9038671023965141,0.8466257668711656,0.8404907975460123
8,8,0.8755446623093681,0.9379084967320261,0.8466257668711656,0.9202453987730062
9,9,0.8711873638344226,0.8613834422657951,0.852760736196319,0.8650306748466258
