,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8654019873532068,0.8459801264679313,0.8073394495412844,0.7614678899082569
1,1,0.8550135501355013,0.8229448961156278,0.8073394495412844,0.7889908256880733
2,2,0.8676603432700993,0.9394760614272809,0.8165137614678899,0.8715596330275229
3,3,0.8812104787714544,0.90063233965673,0.7981651376146789,0.7981651376146789
4,4,0.9065040650406504,0.8753387533875339,0.8623853211009174,0.8532110091743119
5,5,0.8672086720867208,0.8274616079494127,0.8348623853211009,0.8165137614678899
6,6,0.8112014453477867,0.9448961156278229,0.7981651376146789,0.8990825688073394
7,7,0.7493224932249323,0.7244805781391147,0.7247706422018348,0.7431192660550459
8,8,0.8387533875338753,0.912375790424571,0.7614678899082569,0.8348623853211009
9,9,0.7615176151761518,0.8604336043360433,0.7247706422018348,0.8165137614678899
