,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8577235772357723,0.8644986449864499,0.7981651376146789,0.7431192660550459
1,1,0.8012646793134598,0.8224932249322493,0.8165137614678899,0.8073394495412844
2,2,0.8401084010840107,0.9277326106594399,0.8165137614678899,0.8532110091743119
3,3,0.8717253839205059,0.8893405600722674,0.8256880733944953,0.8440366972477065
4,4,0.9056007226738935,0.8875338753387534,0.8715596330275229,0.8532110091743119
5,5,0.8613369467028004,0.8428184281842818,0.7798165137614679,0.8348623853211009
6,6,0.8134598012646793,0.9101174345076783,0.7522935779816513,0.8990825688073394
7,7,0.8306233062330622,0.7696476964769647,0.7614678899082569,0.7889908256880733
8,8,0.8495934959349593,0.9232158988256549,0.7614678899082569,0.8440366972477065
9,9,0.7777777777777777,0.8482384823848238,0.6972477064220184,0.8348623853211009
