,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9360021786492374,0.906590413943355,0.9141104294478528,0.8957055214723927
1,1,0.9436274509803921,0.9343681917211328,0.8834355828220859,0.8773006134969326
2,2,0.9003267973856208,0.954248366013072,0.852760736196319,0.9141104294478528
3,3,0.9553376906318083,0.97739651416122,0.9325153374233128,0.9386503067484663
4,4,0.9114923747276688,0.9308278867102396,0.901840490797546,0.901840490797546
5,5,0.841230936819172,0.9458061002178649,0.9141104294478528,0.9079754601226994
6,6,0.9185729847494553,0.9123093681917211,0.8957055214723927,0.8957055214723927
7,7,0.9237472766884531,0.92619825708061,0.9079754601226994,0.8957055214723927
8,8,0.9395424836601307,0.8668300653594772,0.8834355828220859,0.8650306748466258
9,9,0.8796296296296297,0.9496187363834422,0.8957055214723927,0.901840490797546
